title,instructor,description,type,difficulty,num_reviews,rating,price,url
The Complete SQL Bootcamp 2022: Go from Zero to Hero,['Jose Portilla'],Become an expert at SQL!,business,All Levels,"(129,646)",4.7,True,https://www.udemy.com/course/the-complete-sql-bootcamp/
PMP Exam Prep Seminar - Complete Exam Coverage with 35 PDUs,['Joseph Phillips'],PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course,business,All Levels,"(80,778)",4.6,True,https://www.udemy.com/course/pmp-pmbok6-35-pdus/
Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,"['Kirill Eremenko', 'Ligency I Team', 'Ligency Team']",Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!,business,All Levels,"(77,941)",4.6,True,https://www.udemy.com/course/tableau10/
Agile Crash Course: Agile Project Management; Agile Delivery,['Mauricio Rubio - Agile Guru & Founder of AgileKB | AgileLee & Ureducation'],Get Agile Certified & Learn about the key and most important concepts and tools of Agile Project Management (Scrum),business,Beginner,"(60,768)",4.4,True,https://www.udemy.com/course/agile-crash-course/
Microsoft Power BI - A Complete Introduction [2022 EDITION],"['Manuel Lorenz', 'Academind by Maximilian Schwarzmüller', 'Maximilian Schwarzmüller']","Learn how to use Microsoft's Power BI Tools, including Power BI Desktop, Power BI Pro (Service) and PowerBI Developer",business,Beginner,"(56,806)",4.6,True,https://www.udemy.com/course/powerbi-complete-introduction/
Microsoft Power BI Desktop for Business Intelligence,"['Maven Analytics', 'Chris Dutton', 'Aaron Parry']",Master Power BI Desktop & learn advanced Power BI analysis & data visualization w/ a top Microsoft Power BI instructor,business,All Levels,"(56,517)",4.7,True,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
An Entire MBA in 1 Course:Award Winning Business School Prof,['Chris Haroun'],** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,business,All Levels,"(51,523)",4.5,True,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/
Leadership: Practical Leadership Skills,['Chris Croft'],Master leadership skills and leadership techniques with this highly practical advice and training,business,All Levels,"(46,924)",4.6,True,https://www.udemy.com/course/practical-leadership/
Write Better Emails: Tactics for Smarter Team Communication,['Hassan Osman'],How to improve your email writing skills to save time & improve communication with your team; easy business writing tips,business,All Levels,"(44,773)",4.6,True,https://www.udemy.com/course/write-better-emails/
Become a Product Manager | Learn the Skills & Get the Job,"['Cole Mercer', 'Evan Kimbrell']","The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",business,All Levels,"(41,986)",4.6,True,https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/
SQL - MySQL for Data Analytics and Business Intelligence,['365 Careers'],"SQL that will get you hired – SQL for Business Analysis, Marketing, and Data Management",business,All Levels,"(37,532)",4.6,True,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/
The Business Intelligence Analyst Course 2022,['365 Careers'],"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",business,All Levels,"(36,582)",4.6,True,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/
Business Analysis Fundamentals,['The BA Guide | Jeremy Aschenbrenner'],"Set yourself up for success, learn the key business analysis concepts to thrive in your Business Analyst career",business,Beginner,"(36,211)",4.6,True,https://www.udemy.com/course/business-analysis-ba/
Agile Fundamentals: Including Scrum and Kanban - 2021,"['The BA Guide | Jeremy Aschenbrenner', 'Vivek & Pabitra Khattri']","Master Agile principles, values, approaches, & mindset to help organizations make changes faster and with less expense",business,All Levels,"(34,050)",4.5,True,https://www.udemy.com/course/agile-fundamentals-scrum-kanban-scrumban/
Emotional Intelligence at Work: Learn from Your Emotions,['Leila Bulling Towne'],"Master EQ to identify emotions in yourself and others, manage your emotions, and improve your relationships at work.",business,Beginner,"(33,729)",4.5,True,https://www.udemy.com/course/emotional-intelligence-at-work-learn-from-your-emotions/
Communication Fundamentals: How To Communicate Better,"['Life Progression Project', 'Lorraine Wiseman']",Become an Effective Communicator And Learn How to Get Your Message Across By Learning Communication Fundamentals,business,All Levels,"(31,310)",4.4,True,https://www.udemy.com/course/communication-fundamentals-how-to-communicate-better/
The Ultimate Drawing Course - Beginner to Advanced,"['Jaysen Batchelor', 'Quinton Batchelor']","Learn the #1 most important building block of all art, Drawing. This course will teach you how to draw like a pro!",design,Beginner,"(113,030)",4.6,True,https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/
Character Art School: Complete Character Drawing Course,['Scott Harris'],"Learn How to Draw People and Character Drawings Professionally, Drawing for Animation, Comics, Cartoons, Games and More!",design,All Levels,"(60,120)",4.6,True,https://www.udemy.com/course/character-art-school-complete-character-drawing/
Complete Blender Creator: Learn 3D Modelling for Beginners,"['GameDev.tv Team', 'Rick Davidson', 'Grant Abbitt']","Use Blender to Create Beautiful 3D models for Video Games, 3D Printing & More. Beginners Level Course",design,All Levels,"(51,079)",4.7,True,https://www.udemy.com/course/blendertutorial/
Design Thinking in 3 Steps,"['Designit Strategic Design', 'Alan Cooper']","Understand your audience, envision a creative solution, and test your prototype",design,All Levels,"(42,256)",4.3,True,https://www.udemy.com/course/designit-design-thinking/
User Experience Design Essentials - Adobe XD UI UX Design,['Daniel Walter Scott'],"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design",design,All Levels,"(38,982)",4.6,True,https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/
Graphic Design Masterclass - Learn GREAT Design,['Lindsay Marsh'],"The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design",design,Beginner,"(38,046)",4.7,True,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
Illustrator 2022 MasterClass,['Martin Perhiniak'],Master Adobe Illustrator with this in-depth training for all levels.,design,All Levels,"(31,102)",4.6,True,https://www.udemy.com/course/illustrator-cc-masterclass/
Adobe After Effects: Complete Course from Novice to Expert,['Louay Zambarakji'],"Adobe After Effects CC Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with 50+ practice projects.",design,All Levels,"(27,288)",4.7,True,https://www.udemy.com/course/after-effects-kinetic-typography/
Ultimate Adobe Photoshop Training: From Beginner to Pro 2022,['Cristian Doru Barin'],Master Adobe Photoshop CC 2022 without any previous knowledge with this easy-to-follow course,design,All Levels,"(26,021)",4.7,True,https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/
Adobe Photoshop CC – Essentials Training Course,['Daniel Walter Scott'],This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.,design,Beginner,"(25,362)",4.7,True,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/
Wordpress for Beginners - Master Wordpress Quickly,['Andrew Williams'],"In 2022, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.",design,Beginner,"(23,173)",4.6,True,https://www.udemy.com/course/wordpress-for-beginners-course/
Web Design for Beginners: Real World Coding in HTML & CSS,['Brad Schiff'],"Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass and more!",design,All Levels,"(20,654)",4.6,True,https://www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/
The complete AutoCAD 2018-21 course,['Jaiprakash Pandey'],A complete course for learning AutoCAD from scratch to professional level,design,Beginner,"(20,521)",4.6,True,https://www.udemy.com/course/autocad-2018-course/
Adobe Illustrator CC - Essentials Training Course,"['Video School', 'Phil Ebiner', 'Daniel Walter Scott']","Learn Adobe Illustrator CC graphic design, logo design, and more with this in-depth, practical, easy-to-follow course!",design,Beginner,"(20,312)",4.7,True,https://www.udemy.com/course/adobe-illustrator-course/
Adobe Photoshop CC: A Beginner to Advanced Photoshop Course,"['Phil Ebiner', 'Video School']","You can learn Adobe Photoshop CC. Graphic Design, Photo Editing & Retouching,  Learn it all with this Photoshop class.",design,Beginner,"(19,675)",4.7,True,https://www.udemy.com/course/adobe-photoshop-course/
"Graphic Design Bootcamp: Photoshop, Illustrator, InDesign",['Derrick Mitchell'],"Bestselling Beginner Course! Use Photoshop, Illustrator, & InDesign for logo design, web design, poster design, and more",design,Beginner,"(15,428)",4.4,True,https://www.udemy.com/course/graphic-design-for-beginners/
2022 Complete Python Bootcamp From Zero to Hero in Python,['Jose Portilla'],Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,development,All Levels,"(412,149)",4.6,True,https://www.udemy.com/course/complete-python-bootcamp/
The Web Developer Bootcamp 2022,['Colt Steele'],"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",development,All Levels,"(232,314)",4.7,True,https://www.udemy.com/course/the-web-developer-bootcamp/
The Complete 2022 Web Development Bootcamp,['Dr. Angela Yu'],"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",development,All Levels,"(182,822)",4.7,True,https://www.udemy.com/course/the-complete-web-development-bootcamp/
Angular - The Complete Guide (2022 Edition),['Maximilian Schwarzmüller'],"Master Angular 13 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",development,All Levels,"(163,193)",4.6,True,https://www.udemy.com/course/the-complete-guide-to-angular-2/
Java Programming Masterclass covering Java 11 & Java 17,"['Tim Buchalka', ""Tim Buchalka's Learn Programming Academy""]",Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,development,All Levels,"(159,525)",4.6,True,https://www.udemy.com/course/java-the-complete-java-developer-course/
Machine Learning A-Z™: Hands-On Python & R In Data Science,"['Kirill Eremenko', 'Hadelin de Ponteves', 'Ligency I Team', 'SuperDataScience Support', 'Ligency Team']",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,development,All Levels,"(157,643)",4.5,True,https://www.udemy.com/course/machinelearning/
"React - The Complete Guide (incl Hooks, React Router, Redux)","['Academind by Maximilian Schwarzmüller', 'Maximilian Schwarzmüller']","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",development,All Levels,"(145,171)",4.6,True,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
The Complete JavaScript Course 2022: From Zero to Expert!,['Jonas Schmedtmann'],"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",development,All Levels,"(134,910)",4.7,True,https://www.udemy.com/course/the-complete-javascript-course/
Python for Data Science and Machine Learning Bootcamp,['Jose Portilla'],"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",development,All Levels,"(113,264)",4.6,True,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
The Data Science Course 2022: Complete Data Science Bootcamp,"['365 Careers', '365 Careers Team']","Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",development,All Levels,"(105,776)",4.6,True,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
Automate the Boring Stuff with Python Programming,['Al Sweigart'],"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",development,All Levels,"(99,493)",4.7,True,https://www.udemy.com/course/automate/
100 Days of Code: The Complete Python Pro Bootcamp for 2022,['Dr. Angela Yu'],"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",development,All Levels,"(98,189)",4.7,True,https://www.udemy.com/course/100-days-of-code/
Complete C# Unity Game Developer 2D,"['GameDev.tv Team', 'Rick Davidson', 'Gary Pettie']","Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",development,All Levels,"(92,465)",4.7,True,https://www.udemy.com/course/unitycourse/
Learn Python Programming Masterclass,"['Tim Buchalka', 'Jean-Paul Roberts', ""Tim Buchalka's Learn Programming Academy""]",This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,development,All Levels,"(88,658)",4.6,True,https://www.udemy.com/course/python-the-complete-python-developer-course/
Selenium WebDriver with Java -Basics to Advanced+Frameworks,['Rahul Shetty'],"""TOP RATED (BEST SELLER) #1 Master SELENIUM java course"" -5 Million students learning worldWide with great collaboration",development,All Levels,"(78,483)",4.6,True,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/
Modern React with Redux,['Stephen Grider'],"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",development,All Levels,"(74,460)",4.7,True,https://www.udemy.com/course/react-redux/
The Complete Financial Analyst Course 2022,['365 Careers'],"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",finance-and-accounting,All Levels,"(65,487)",4.6,True,https://www.udemy.com/course/the-complete-financial-analyst-course/
The Complete Foundation Stock Trading Course,"['Mohsen Hassan', 'bloom team']","Learn To Trade The Stock Market. #1 Trading course. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++",finance-and-accounting,All Levels,"(42,830)",4.6,True,https://www.udemy.com/course/foundation-course/
Beginner to Pro in Excel: Financial Modeling and Valuation,['365 Careers'],Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,finance-and-accounting,All Levels,"(39,870)",4.6,True,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
